"store_item","ME","RMSE","MAE","MPE","MAPE"
"3_1000866",-0.339587587237929,0.898930235041922,0.732557362430001,-Inf,Inf
"3_1001305",2.98774469907595,4.31674194428643,3.13063972195827,61.1995518366286,75.489054124861
"3_1003679",1.57904049595747,3.24153901920674,2.34018414562513,-Inf,Inf
"3_1004545",-0.0239009605003478,0.402704317659779,0.326840282619758,-Inf,Inf
"3_1004550",1.26751114241812,28.552188706118,21.0132012561564,-5.63789052735398,55.0420664627805
"3_1004551",-4.95125704258875,16.1224046361719,11.6509287132555,-32.7764266587853,51.672506916797
"3_1005456",-0.0712738934326927,2.02918026504299,1.39330449196132,-Inf,Inf
"3_1005458",0.212215694187172,1.07823325739891,0.742344937295653,-Inf,Inf
"3_1005461",-0.00741772794500598,1.04389877741004,0.679714822031407,NA,Inf
"3_1005463",-0.79934338737837,0.83433083507659,0.79934338737837,-Inf,Inf
"3_1005464",0.928489492721898,2.02250166617487,1.19289682427535,-Inf,Inf
"3_1005465",-0.119807305398905,1.32608301919997,0.964289696826338,-Inf,Inf
"3_1009512",-0.581436533405572,0.935597644781739,0.750415802933905,-Inf,Inf
"3_1009539",-0.12350476427286,0.610178652791899,0.535483973791353,-Inf,Inf
"3_1009946",0.310942096080203,0.671769748683154,0.501037880225848,NA,Inf
"3_1009997",-9.45582396128046,10.3155636276917,9.45582396128046,-Inf,Inf
"3_1009998",-2.50577882371713,6.17765822121712,5.61955495172878,-191.53116825163,208.107600642727
"3_1010752",1.31408832384718,2.48524060439555,2.01751532143523,4.01523428176063,60.5383793497239
"3_1010755",0.430034718269933,3.68338110240708,3.1327240568276,-27.3783204823991,69.1438426728648
"3_1010757",2.82228680749757,3.91259092760754,3.10183694426534,47.5218732522428,55.0663206291718
"3_1012787",1.73278145842089,3.08320387943423,2.44241488847132,19.4636294044647,43.1180770728125
"3_1012788",2.82139437132717,3.72704398321752,3.0323470231038,36.1428462308296,57.2381114084927
"3_1014864",-3.60868895381406,5.84528935691241,4.11525347014802,-88.2817843607099,92.9912472562618
"3_1014865",0.472012660953291,5.69394835482646,4.43974929064335,-8.82604262185022,31.7040614362959
"3_1017791",0.331143011080899,3.8011255309131,3.15036126890366,-10.7634700402986,36.5531734337634
"3_1018516",-0.0769095637998418,0.933767344576343,0.792682553402337,-Inf,Inf
"3_1018617",0.229566811348787,2.25433763064421,1.85664436760871,-Inf,Inf
"3_1018878",15.8909887723091,16.7884096885311,15.8909887723091,Inf,Inf
"3_1020237",0.0366616850142725,0.240182070913549,0.177331847474026,NA,Inf
"3_1020940",0.159784675342381,0.535810571749885,0.381808891638997,NA,Inf
"3_1021281",-3.45543574508666,4.04015651068448,3.78363730270172,-74.7430798337438,77.5796631486532
"3_1021676",9.56554807117701,31.0436726879379,11.1250408495086,-Inf,Inf
"3_1022053",-3.42795709713334,4.37527385250282,3.42795709713334,-Inf,Inf
"3_1028589",0.3758837795642,3.43691938387951,2.7327850084383,-Inf,Inf
"3_1033395",0.685936917726041,2.73027393308248,2.28999760681966,-Inf,Inf
"3_103520",0.836980906328307,2.53339688339523,2.06146471887046,-16.5776563028464,56.5891336753871
"3_1036189",-0.324829299997598,3.25302673849527,2.80048627501692,-59.8341236465348,93.1893135365545
"3_1036317",-0.596675579338297,0.989408872651993,0.712558610390245,NA,Inf
"3_103665",-0.00226230249881466,2.04260802540535,1.55245315334978,-Inf,Inf
"3_1036689",2.71909746674479,17.1538281441843,13.2802726400994,2.76978201713196,28.5285532887128
"3_1037412",-0.25115984917651,0.651377752922061,0.604503572272556,-Inf,Inf
"3_1037654",0.226428394886192,0.753377958484719,0.493652266151793,-Inf,Inf
"3_1037838",-0.872368500050054,2.59593386282424,2.08921242757672,-87.4458232035253,101.830409666508
"3_1037845",2.69107653878722,7.81859394266674,6.40379941759651,1.04658746222155,34.9496225779211
"3_1037846",0.928588434565132,8.09850097056779,6.69622376999888,-35.9028743515392,73.3646509889755
"3_1037856",-3.13457676487047,6.11820219465197,4.50477921004213,-159.101940091444,171.698480126486
"3_1037857",-4.89295722177458,37.0363576021902,30.7280394566434,-80.7548768890074,105.523733605454
"3_1038937",1.61788597607249,3.25496838618851,2.83192285698082,7.32296945879132,30.7350101171379
"3_1038945",0.548535460541411,3.86170846219806,3.10746674925917,-4.45625720833879,33.8507099431281
"3_1038946",-0.975948393903929,3.93166973448584,3.27334600382977,-14.0994745007737,28.7074523965559
"3_1038950",-0.0784649622327244,1.57552078176774,1.15141289302767,-Inf,Inf
"3_1038952",-3.82584116730153,8.30152150877288,6.23647672220541,-157.076949137689,166.219475204879
"3_1038953",0.940553199042506,5.44424310679622,3.50804843199758,-44.3309826831563,73.7019800511971
"3_1038954",-0.830464927347147,3.36390632879275,2.81734009127513,-66.4101769632361,86.40804601192
"3_1038962",1.04394118674144,5.68886355989801,4.42042679980258,-5.75465480579397,47.7524158428714
"3_1039087",-0.948717888787992,2.12928790117194,1.86741660357684,-Inf,Inf
"3_1040170",-0.545278747668859,5.64380586927492,4.79178129868909,-36.112391482585,66.363893735758
"3_1040348",1.03113903764898,2.67836467945954,2.25337518354896,3.08713262299493,29.299634846382
"3_1044584",-2.93402030255591,3.53069867115631,2.93402030255591,-135.471521464212,135.471521464212
"3_1044592",1.47603640603614,5.26257660125539,4.46151183386376,1.89623091882512,50.7518074447767
"3_1045449",0.961244087474524,4.51641807628937,3.23190340129023,-55.4686985237141,94.1839858517073
"3_1046272",-2.38134967107956,3.1407585745791,2.63915940825564,-Inf,Inf
"3_1047674",-5.2015019340172,15.4138763006789,12.6684311541925,-26.6580185813105,42.507938188937
"3_1047675",4.00898580417001,14.9790532110896,13.3156019094442,0.757330691236957,33.9625516926568
"3_1047679",28.0930864519143,123.967569545535,89.8061187825554,1.18120081880292,25.7321990705594
"3_1047680",0.29974074753816,7.14244222435051,5.62940558292832,-4.99727377919195,34.8440692392878
"3_1047681",-2.14449967307714,15.2728467855411,13.12329151252,-10.5241327870974,37.2435472135219
"3_1047682",-10.4980560021482,20.4193463926029,16.9325843536891,-Inf,Inf
"3_1047685",-3.02328333179897,16.2445095828985,13.1659567205719,-14.9701544767375,38.167388998369
"3_1047686",-15.7608852176495,17.2008404901878,15.7608852176495,-Inf,Inf
"3_1047690",-29.8649448877537,41.1462950226805,34.324572017084,-51.7086178888809,56.8310925512129
"3_1047695",-1.41718895343882,2.82873825193662,2.14424938297141,-Inf,Inf
"3_1047696",-1.42476942810583,6.08339654080132,4.71410204711541,-85.6447871386323,102.378440775849
"3_1047698",-5.2858497782977,7.13751906548714,6.50789435349418,-129.446788012247,137.084566607224
"3_1047699",-0.883080827920338,3.76049829695862,3.11996658685176,-92.0285799271155,116.829263174651
"3_1047702",-0.0814275032444798,3.15601711554098,2.39321598640082,-Inf,Inf
"3_1047703",-3.39435817884584,4.7340276238492,4.28310341128129,-Inf,Inf
"3_1047705",-0.984538928359705,2.28822020518676,1.96017702022187,-Inf,Inf
"3_1047707",-1.88433367343985,2.10969718962439,1.91844834271067,-Inf,Inf
"3_1047709",-0.397731712139408,0.746420391751672,0.580369417427418,NA,Inf
"3_1047717",1.87309839226981,2.57965740203238,2.19808181291807,-Inf,Inf
"3_1047721",0.962585764878487,5.58226461932723,4.66490378210956,-48.5906680935578,90.1434220309718
"3_1047733",-1.35686211533404,5.98702720202818,4.39076427971835,-35.0777402286926,58.8682281250337
"3_1047734",0.26552803850125,1.73751383027939,1.21856293040601,-Inf,Inf
"3_1047735",-4.37118061350027,8.20726606960298,7.24081530552871,-Inf,Inf
"3_1047740",-1.17023492290193,3.9505140634281,3.33286475905648,-57.7694943452801,77.8292212839212
"3_1047743",-0.842487102327973,3.04210363161857,2.14561640914236,-Inf,Inf
